lag,acf,pacf
0,1.0,1.0
1,-0.31516198712623317,-0.31516198712623306
2,0.0007141586098172556,-0.10948804735322276
3,0.024657341319715028,-0.010787357635774092
4,-0.03925228232908249,-0.03812226981983341
5,0.08341877811151167,0.06813069275719814
6,-0.02951241267749109,0.019113013004282902
7,0.009420039600076846,0.016270471200770638
8,-0.009025326366052877,-0.005781993871625446
9,-0.014827430049411824,-0.017849969234022486
10,0.07471444589033513,0.06445996978406097
11,-0.03944185167508684,0.006706879122685485
12,0.0023147669846535616,-0.002807714274394564
13,-0.011015287596045932,-0.01695184812035823
14,-0.024103119236358345,-0.033630603860328734
15,0.07329063148825303,0.048941621850942814
16,-0.01789725141518496,0.026079288495062903
17,0.003694374447268265,0.01495730682740691
18,-0.005109724272590608,0.0013019190371887362
19,-0.025323457473194394,-0.024566231081048388
20,0.055671011999092926,0.02913562896751623
21,-0.018544578627305613,0.00996127958345893
22,0.002307333505868407,0.004469104010765284
23,-0.008639440684411045,-0.0068233518970729195
24,-0.033443889161446104,-0.03705882710496916
25,0.046743641218854444,0.009500691156746333
26,-0.02879892653473616,-0.013469159293770433
27,0.008626831041722259,-0.001067119552827062
28,-0.022988435111174706,-0.022254549887816506
29,-0.034008678511093425,-0.04384950333838895
30,0.06137937734010104,0.023306842404977064
31,-0.01835264762638222,0.011164649691088385
32,-0.00108217233947681,0.001175958000845463
33,-0.02661771821123807,-0.02651236211967264
34,-0.00975812574007336,-0.017829514708454668
35,0.026768871113855165,0.0009063165865731579
36,0.016213592633668773,0.031004679994574312
37,-0.023297359002379656,-0.00897510837321141
38,-0.02179331342654691,-0.02625351435530147
39,-0.018978922638112405,-0.03160845642855298
40,0.019875308302547242,-0.012208326123050887
41,-0.0019072691528087885,-0.002095977591177392
42,-0.01389043779251067,-0.013393881920770654
43,0.013445985827060865,0.016135041706968726
44,-0.01369889596661634,0.007432916547842026
45,-0.002314743795837104,-0.015622785750731073
46,-0.02406733225598528,-0.0397808952368979
47,-0.008615175608152205,-0.03093761080146556
48,-0.0008196268614722854,-0.010954444389166628
49,-0.0015874340196227277,0.00496587482198883
50,0.016353807460410808,0.011386794374901263
51,-0.00945531522190448,-0.0019163564434984603
52,-0.008383033773274644,-0.011215118532029134
53,0.0033868257476899846,-8.854531299101464e-05
54,-0.01207129608791702,-0.003249539508891901
55,0.016682819610321448,0.009044841398715243
56,0.0016536447766206449,0.01110420219887676
57,0.005756826735045173,0.014078492360488916
58,-0.03170191828197435,-0.028632051882247482
59,0.010203101988891931,-0.005122647104885742
60,-0.010733735706570071,-0.020017745024009024
61,-0.016556358579840863,-0.029150052768549085
62,0.017162932976224968,0.0030338441219246283
63,0.0006929764596817903,0.013524019014814303
64,-0.019496002872367305,-0.011641471388118151
65,0.03723325727230596,0.026263322868947003
66,-0.007331622459533338,0.01060810390514066
67,-0.010515899522685434,-0.006071124590619536
68,-0.0038463507702140172,-0.007910190483800525
69,-0.016905484659493895,-0.019599282722936838
70,0.04138058237039995,0.024558512329882824
71,-0.05244104000937791,-0.041270048607811666
72,0.059508100676446275,0.034616418442968144
73,-0.01909923944077128,0.009470880428283677
74,-0.02529633382878082,-0.020703308097026075
75,0.031970996873184346,0.0051545137641480585
76,-0.012051085687668855,0.008332351934198895
77,0.001877097959173573,-0.0028584787947916416
78,0.015565800847732916,0.019195523893535685
79,-0.015418929791094394,-0.002129116500056618
80,0.009236118885571815,-0.006822588285111705
81,0.015003430516485875,0.0245633635969205
82,-0.011935961568053152,-0.004304270603903477
83,0.003451709706082558,0.0003703526956258422
84,-0.026456376909354408,-0.02901100441036134
85,0.08185429575558799,0.06233740965701972
86,-0.06392213373094494,-0.022537722010289626
87,0.02064070442682494,-0.006004821242581752
88,0.022467508950812464,0.02542503787899014
89,-0.06705634121815782,-0.04501070223455984
90,0.03938149789564675,-0.012917191060226919
91,0.0056605938245072145,0.017007015327693477
92,-0.004879144452805512,-0.0005496123079584225
93,0.011782393666707053,0.006311580955051949
94,-0.0513914481399152,-0.034802109008280145
95,0.03519517352304929,-0.008774768659251772
96,0.013756332030055723,0.02944003401805807
97,-0.022921164077959445,-0.014497924984971313
98,0.009206752640803596,-0.004647887032127078
99,-0.031345102664658515,-0.019680102489431826
100,0.05776761890139066,0.030422768135985
101,-0.028329863436644707,0.0031246284863970736
102,-0.0046291996393199595,-0.012387676652626566
103,0.017003303839751318,0.00830078185341093
104,-0.046008115071883134,-0.020898683243169288
105,0.05151991812687586,0.016199527333944152
106,-0.022391170701398167,-0.009113276314148336
107,0.007701929314986285,0.006205704597264756
108,0.00960228905217751,0.004093917898648846
109,-0.04927154960622398,-0.024782000260505956
110,0.03772107940211184,0.0011311412355741134
111,0.022519026690141705,0.042886381261363286
112,-0.02154080295844039,0.0005825311285065005
113,0.015255909757837784,0.006407139573510682
114,-0.029515931701136894,-0.0027680887461386237
115,0.04697668931912354,0.019568142073926972
116,-0.009229067247804179,0.012072086471613064
117,-0.0349361927448623,-0.03442783437485722
118,0.05340794540073496,0.031085946454963254
119,-0.038309471121731616,0.006146534461640631
120,-0.012111243851946481,-0.03999984662374703
121,0.02529048346006962,-0.003897561392341393
122,-0.014245508785173977,-0.0028593514936701577
123,0.019754262578600926,0.015649187145250622
124,-0.011074784575417511,0.024911519854513002
125,-0.004653210956382349,-0.008454163968881422
126,0.006394990042881362,-0.004057356443624955
127,0.021944917968205944,0.026488060875086733
128,-0.02234407937999472,-0.022430804777839725
129,-0.005688190329774777,-0.001771952986848957
130,0.01827741074005576,0.01424340199706325
131,-0.021301711424782814,-0.02136397197971528
132,0.006864085642620515,-0.008171410589107296
133,0.02198611572239847,0.023140418590843103
134,-0.049576727767061256,-0.03044529846636837
135,0.06536111365814928,0.03916862510469155
136,-0.04451143295309986,-0.017462711990662582
137,0.029738575189336307,0.02192394146371966
138,-0.027855537254365192,-0.024362022884163167
139,-0.013732955795586086,-0.013921157424316996
140,0.028041984085366668,0.0052093725391993495
141,-0.015384884857859854,-0.004460952080869338
142,0.008076247079374021,-0.0006950860467125051
143,-0.005633440593339909,-0.0012655654826661674
144,-0.026045032695060307,-0.025508598917837317
145,0.023286819847894217,0.002704258386177222
146,-0.0030287257264270872,0.010531284681807564
147,0.006818150825279568,0.004357228104908096
148,0.0028893356724542982,0.010341862838642774
149,-0.03119077385748221,-0.018679797271451422
150,0.024514286612262244,-0.004450663240911544
151,-0.008432318749501557,0.0007044675315893533
152,-0.01116027052781544,-0.011588107875575075
153,-0.0023470153845498282,-0.015625474077362995
154,-0.006542090655625564,-0.00446563415891732
155,0.033747244698682614,0.023329744786730666
156,-0.03708621905443051,-0.007336177482660504
157,0.020342516253222614,-0.004850989177655898
158,0.017854405909955264,0.030834404445806284
159,-0.05255817854916124,-0.02651721938302501
160,0.05193432468203415,0.016650215926471538
161,-0.05111666858572557,-0.024274747590029053
162,0.02457505630740028,-0.004451894462206485
163,-0.01040791908809088,-0.013977780132311187
164,-0.011912258850351628,-0.0006554400604327496
165,0.04351895547116046,0.024930823652733514
166,-0.049805519632853214,-0.024767052381877236
167,0.02191899125297071,-0.0029388798663104333
168,-0.01295364709665867,-0.01410627591862491
169,-0.03835361164693055,-0.03382929605558418
170,0.05832142711069714,0.020255476789048266
171,-0.03654023171796679,0.0031029572681152864
172,0.02462852213897252,0.01038631531465861
173,-0.0011668800538675533,0.007649281381715398
174,-0.021113801663297446,0.008431478912842464
175,0.02122861490459724,-0.00754510874938975
176,-0.008115890005284827,0.006543603262941347
177,0.022094370268269024,0.014227843390910242
178,-0.01947391114173744,-0.013933146158437
179,-0.01746621868589666,-0.005165557989739806
180,0.018443030048372316,-0.01652416021950027
181,-0.028189338936576557,-0.02646594778668597
182,0.0223898730036339,0.012922724789948834
183,-0.005857011366575579,-0.00822103282501486
184,-0.01368903440219198,0.0034446817191008125
185,0.024351056032906822,0.009864225834813476
186,-0.01196501901535855,0.0054701287886614785
187,0.00850744426373126,0.004568462404708361
188,0.0064879699933381805,-5.454253037133195e-05
189,-0.015327435233821532,0.006726972233780648
190,0.009607575197363502,-0.014369199357264642
191,0.016269595909735337,0.02020270395695139
192,-0.015707041697965766,-0.011839017767269481
193,0.014669954157792195,0.01245285713895547
194,-0.0323587754621531,-0.019040229792153297
195,0.019789685557451676,-0.004069984987474852
196,0.0005417117459851544,-0.006119067048678002
197,-0.026429717062285817,-0.02221939929947075
198,0.020530702055431074,-0.002089986606546258
199,-0.003945605372475625,0.008112455207653526
200,0.011751890413245534,0.012998562910877929
201,-0.00015349272912928297,0.007523888753716411
202,-0.014757270095248784,-0.01069088863836179
203,0.018496213958635963,-0.0011394264442160398
204,-0.02178526023824911,0.004231218960204577
205,0.014083088010862074,-0.0004031294331964038
206,-0.006945529185255028,-0.012221244203512942
207,0.005130317048059951,-0.0013942445435580235
208,0.0061423452415066224,0.00018067130597940303
209,-0.02132802388781198,-0.012077015412307166
210,0.020402247845910652,0.0125300104656423
211,-2.276643742159683e-05,0.002488270434403489
212,-0.01098022090778546,-0.0026821459726053035
213,0.005039806985794819,-0.004760794383944139
214,-0.019829248511736827,-0.02554180148143243
215,0.013381258363416023,0.0006979428846926085
216,0.004302816287014207,0.015191671807012627
217,-0.01866477479574645,-0.010947952855505521
218,0.01117019799111309,-0.011603323703798032
219,-0.0034107396979856878,0.015507154707380375
220,0.03110701536836952,0.022777667799822644
221,-0.009850087821805137,0.012591053430287538
222,-0.006370557059544658,0.002770563796437098
223,0.006467113334696785,-0.004707359752169267
224,-0.023252674135661906,-0.009339171210920729
225,0.03504917242439163,0.015118869233820508
226,-0.012340692306512272,-0.004909599670717766
227,-0.0014406789276992051,-0.004388443031113745
228,-0.0034288191420728514,-0.0073946947465151226
229,0.007988077030476572,0.01472303002784342
230,0.006792552184805266,-0.000969272937832565
231,-0.020319430852497516,-0.00729630927551983
232,0.006886289296850712,-0.0025154592085951007
233,-0.003544644993060243,-0.0060901679016575104
234,-0.010717798024490388,-0.0024424381857825954
235,0.03485525674592389,0.018410484307602414
236,-0.017265460594275254,0.0019579475594571493
237,-0.009998912760371284,-0.0162389883041345
238,-0.0012371324954662507,-0.010422585675843277
239,0.007966606142737141,0.01025827036923738
240,0.0011653197195844126,-0.011630071650277114
241,-0.014280813446435616,-0.009230701831981028
242,0.007844249224938654,-0.01205422024877827
243,-0.00191303664282444,-0.0006899247518094308
244,-0.0068559143056348805,0.014143348195145056
245,0.016852123419140302,-0.0015070884233755737
246,-0.026371145133860654,-0.015209878034623113
247,0.001883169101600051,-0.004831363960121157
248,0.027115117125698834,0.020083062787608966
249,-0.015914362270089345,0.01879071815680313
250,0.02834105692132708,0.01376740568725078
251,0.012015644857816343,0.03550487517225157
252,-0.014181537783807409,0.010140932742992163
